Campaign,Ad Group,Ad Group Type,Ad Group Status,Max CPC,Final URL,Path 1,Path 2
Search - Travel eSIM - AU,Travel eSIM - General,Standard,Enabled,3.00,https://www.trvel.co/en-au/,travel-esim,plans
Search - Travel eSIM - AU,Japan eSIM,Standard,Enabled,5.00,https://www.trvel.co/en-au/japan/,japan-esim,plans
Search - Travel eSIM - AU,Thailand eSIM,Standard,Enabled,4.00,https://www.trvel.co/en-au/thailand/,thailand-esim,plans
Search - Travel eSIM - AU,Indonesia eSIM,Standard,Enabled,4.00,https://www.trvel.co/en-au/indonesia/,bali-esim,plans
Search - Travel eSIM - AU,Singapore eSIM,Standard,Enabled,3.50,https://www.trvel.co/en-au/singapore/,singapore-esim,plans
Search - Travel eSIM - AU,South Korea eSIM,Standard,Enabled,4.50,https://www.trvel.co/en-au/south-korea/,korea-esim,plans
Search - Travel eSIM - AU,Vietnam eSIM,Standard,Enabled,3.50,https://www.trvel.co/en-au/vietnam/,vietnam-esim,plans
Search - Travel eSIM - AU,Malaysia eSIM,Standard,Enabled,3.50,https://www.trvel.co/en-au/malaysia/,malaysia-esim,plans
